"location","value","variable","bhi_goal","unit","data_descrip"
"Aland Sea",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_cyprinids","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",0.2,"Functional_cyprinids","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_cyprinids","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_cyprinids","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Aland Sea",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",0.2,"Key species_flounder","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",0.2,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",0.2,"Key species_flounder","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Key species_perch","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Arkona Basin",1,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Bay of Mecklenburg",0.2,"Key species_flounder","AO","Good environmental status score","coastal fish cpue"
"Bay of Mecklenburg",0.2,"Functional_piscivores","AO","Good environmental status score","coastal fish cpue"
"Bay of Mecklenburg",1,"Key species_cod","AO","Good environmental status score","coastal fish cpue"
"Bay of Mecklenburg",1,"Key species_flounder","AO","Good environmental status score","coastal fish cpue"
