"rgn_id","year","value","unit","bhi_goal","data_descrip"
1,2000,0.0932308371152126,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2001,0.089807674819665,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2002,0.0929258183897809,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2003,0.0997063248588037,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2004,0.102484963278007,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2005,0.104248503193133,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2006,0.112765589550681,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2007,0.118877695706318,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2008,0.118554933554569,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2009,0.102089865804968,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2010,0.121794555962102,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2011,0.133346026294087,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2012,0.13791892666573,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
1,2013,0.143484434291847,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2000,0.0575671826441127,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2001,0.0597378618804494,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2002,0.0623551833164012,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2003,0.0635778424376943,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2004,0.0649402747768195,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2005,0.0671245041112102,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2006,0.0716291602543342,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2007,0.0739892735871638,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2008,0.0757029511043244,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2009,0.0736908188459079,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2010,0.0747256738203015,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2011,0.0752940846810913,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2012,0.077647349345817,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
2,2013,0.0780585289842758,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
3,2000,0.0549608518549524,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
3,2001,0.057205685501781,"GDP per capita","ECO","NUTS3 GDP allocated to BHI regions"
