ID;HELCOM_MPA_name;Mapview;Country;Subbasin;Status;Coverage;Location;MPA_size_km2;MPA- marine_sizekm2;MPA_terrestrial_size_km2;Territorial_Waters_km2;Exclusive_Economic_Zone_km2;Date_of_last_update;Date_of_last_update_formatted
143;"	Archipelago Sea";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=143.xml;Finland;Northern Baltic Proper,Aland Sea;Designated;Marine and terrestrial;Territorial waters;596.03;561.01;35.02;561.01;0;17.04.2016;2016-04-17
396;"	Bjoerkoer Islands";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=396.xml;Finland;Aland Sea;Designated and managed;Marine;Territorial waters;52.34;51.38;0.96;51.38;0;13.05.2016;2016-05-13
139;"	Bothnian Bay National Park";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=139.xml;Finland;Bothnian Bay;Designated and managed;Marine and terrestrial;Territorial waters;158.85;156.8;2.05;156.8;0;27.05.2016;2016-05-27
397;"	Boxoe Islands";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=397.xml;Finland;Aland Sea;Designated and managed;Marine and terrestrial;Territorial waters;14.16;11.46;2.7;11.46;0;13.05.2016;2016-05-13
145;"	Eastern Gulf of Finland Archipelago and waters";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=145.xml;Finland;Gulf of Finland;Designated and managed;Marine and terrestrial;Territorial waters;956.89;951.29;5.6;950.76;0.53;27.05.2016;2016-05-27
147;"	Hailuoto northshore";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=147.xml;Finland;Bothnian Bay;Designated;Marine and terrestrial;Territorial waters;36.69;22.5;14.19;22.5;0;17.04.2016;2016-04-17
158;"	Kirkkonummi Archipelago";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=158.xml;Finland;Gulf of Finland;Designated;Marine and terrestrial;Territorial waters;142.26;136.41;5.85;136.41;0;17.04.2016;2016-04-17
152;"	Kokkola Archipelago";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=152.xml;Finland;Bothnian Bay;Designated and managed;Marine and terrestrial;Territorial waters;149.8;144.78;5.02;144.78;0;27.05.2016;2016-05-27
156;"	Kristiinankaupunki Archipelago";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=156.xml;Finland;Bothnian Sea;Designated;Marine and terrestrial;Territorial waters;80.4;77.34;3.06;77.34;0;17.04.2016;2016-04-17
166;"	Kurgalsky Peninsula";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=166.xml;Russia;Gulf of Finland;Designated and managed;Marine and terrestrial;Territorial waters;506.8;278.58;228.22;278.58;0;17.04.2016;2016-04-17
150;"	Liminganlahti";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=150.xml;Finland;Bothnian Bay;Designated;Marine and terrestrial;Territorial waters;118.2;94.32;23.88;94.32;0;17.04.2016;2016-04-17
153;"	Luoto Archipelago";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=153.xml;Finland;Bothnian Bay;Designated and managed;Marine and terrestrial;Territorial waters;144.43;131.63;12.8;131.63;0;27.05.2016;2016-05-27
400;"	Lagskar Islands";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=400.xml;Finland;Aland Sea;Designated and managed;Marine;Territorial waters;10.52;9.93;0.59;9.93;0;06.05.2016;2016-05-06
398;"	Langoer-Oestra Sundskaer Islands";http://maps.helcom.fi/website/HELCOMMPAs/index.html?config=398.xml;Finland;Aland Sea;Designated and managed;Marine;Territorial waters;16.48;16.13;0.35;16.13;0;06.05.2016;2016-05-06
