name,BSPA_ID,BHI_ID,country,mpa_area_km2,eez_area_km2
Curonian Spit State National Park (southern part),163,22,Russia,66.21,9466.30104
Vistula Spit Landscape Park (northern part),164,19,Russia,40,2138.41462
Kurgalsky Peninsula,166,34,Russia,599.5,8426.04463
Kurgalsky Peninsula,166,33,Russia,599.5,11571.59858
Vyborgskii,294,33,Russia,113.0409960937,11571.59858
Lebyazhy Nature Reserve,197,33,Russia,63.4464990234,11571.59858
Berezovye Islands,196,33,Russia,552.95,11571.59858
Ostoja Slowinska,85,17,Poland,329.5530078125,17334.97259
Ostoja Slowinska,85,21,Poland,329.5530078125,11013.8982
Zalew Wislany i Mierzeja Wislana,83,18,Poland,408.626015625,3682.83573
Zalew Wislany i Mierzeja Wislana,83,19,Poland,408.626015625,2138.41462
Ujscie Odry i Zalew Szczecinski,301,16,Poland,526.12,2566.81091
Ujscie Odry i Zalew Szczecinski,301,17,Poland,526.12,17334.97259
Wolin i Uznam,86,16,Poland,307.92,2566.81091
Wolin i Uznam,86,17,Poland,307.92,17334.97259
Zatoka Pomorska,170,16,Poland,3091.55,2566.81091
Zatoka Pomorska,170,17,Poland,3091.55,17334.97259
Przybrzezne Wody Baltyku,179,17,Poland,1946.27,17334.97259
Przybrzezne Wody Baltyku,179,21,Poland,1946.27,11013.8982
Przybrzezne Wody Baltyku,179,18,Poland,1946.27,3682.83573
Zatoka Pucka,84,18,Poland,624.303984375,3682.83573
Ujscie Wisly,302,18,Poland,17.4809997558,3682.83573
Begstrup Vig og kystområder ved Helgenæs,246,3,Denmark,17.71,10369.11323
"Fyns Hoved, Lillegrund og Lillestrand",251,3,Denmark,21.82,10369.11323
Æbelø og havet syd for og Nærå,241,3,Denmark,131.61,10369.11323
Havet mellem Romsø og Hindsholm samt Romsø,265,3,Denmark,43.28,10369.11323
Odense Fjord,287,3,Denmark,50.48,10369.11323
Lillebælt,259,3,Denmark,350.43,10369.11323
Bøjden Nor,276,3,Denmark,1.14,10369.11323
Maden på Helnæs og havet vest for,254,3,Denmark,20.45,10369.11323
Vestlige del af Avernakø,293,3,Denmark,1.24,10369.11323
Stenrev sydøst for Langeland,269,3,Denmark,14.84,10369.11323
Stenrev sydøst for Langeland,269,7,Denmark,14.84,1208.87616
Sydfynske Øhav,271,3,Denmark,451.99,10369.11323
Sydfynske Øhav,271,7,Denmark,451.99,1208.87616
Roskilde Fjord og Jægerspris Nordskov,289,2,Denmark,148.1,15300.69996
Vestamager og havet syd for,273,12,Denmark,61.79,6272.53375
Ølsemagle Strand og Staunings Ø,281,12,Denmark,5.38,6272.53375
Havet og kysten mellem Hundested og Rørvig,253,2,Denmark,40.23,15300.69996
Sejerø Bugt og Saltbæk Vig,268,3,Denmark,445,10369.11323
Udby Vig,292,2,Denmark,3.84,15300.69996
Hov Vig,280,2,Denmark,2.4,15300.69996
Havet og kysten mellem Præstø Fjord og Grønsund,264,12,Denmark,328.15,6272.53375
Klinteskov Kalkgrund,258,12,Denmark,19.94,6272.53375
Nakskov Fjord og Inderfjord,263,3,Denmark,85.26,10369.11323
Stege Nor,291,12,Denmark,5.72,6272.53375
Ryggen,266,3,Denmark,4.37,10369.11323
Hatter Barn,252,3,Denmark,6.33,10369.11323
Broen,248,3,Denmark,5.88,10369.11323
Munkegrunde,262,3,Denmark,13.29,10369.11323
Stevns Rev,270,12,Denmark,46.4,6272.53375
Bøchers Grund,247,12,Denmark,10.98,6272.53375
Hvideodde Rev,256,12,Denmark,7.89,6272.53375
Hvideodde Rev,256,15,Denmark,7.89,7152.79836
Bakkebrædt og Bakkeground,245,12,Denmark,2.99,6272.53375
Mols Bjerge med kystvande,261,3,Denmark,29.15,10369.11323
Kaløskovene og Kaløvig,283,3,Denmark,7.46,10369.11323
Kobberhage kystarealer,284,3,Denmark,7.92,10369.11323
Kobberhage kystarealer,284,2,Denmark,7.92,15300.69996
Jægerspris Skydeterræn,282,2,Denmark,5.69,15300.69996
Thurø Rev,272,3,Denmark,1.63,10369.11323
"Ålborg Bugt, østlige del",274,2,Denmark,1773.6,15300.69996
Mejl Flak,286,3,Denmark,39.07,10369.11323
Adler Grund og Rønne Banke,275,12,Denmark,319.1,6272.53375
Adler Grund og Rønne Banke,275,13,Denmark,319.1,7071.49776
Kims Top og den Kinesiske Mur,257,2,Denmark,261,15300.69996
