TIME;GEO;GEO_LABEL;UNIT;NA_ITEM;NA_ITEM_LABEL;Value;Flag and Footnotes
1975;BE;Belgium;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;BE;Belgium;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;BE;Belgium;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;BG;Bulgaria;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;BG;Bulgaria;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;BG;Bulgaria;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;CZ;Czech Republic;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;CZ;Czech Republic;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;CZ;Czech Republic;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;DK;Denmark;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;DK;Denmark;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;DK;Denmark;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;DE;Germany (until 1990 former territory of the FRG);Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;DE;Germany (until 1990 former territory of the FRG);Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;DE;Germany (until 1990 former territory of the FRG);Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;EE;Estonia;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;EE;Estonia;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;EE;Estonia;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;IE;Ireland;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;IE;Ireland;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;IE;Ireland;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;EL;Greece;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;EL;Greece;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;EL;Greece;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;ES;Spain;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;ES;Spain;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;ES;Spain;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;FR;France;Current prices, million euro;B1GQ;Gross domestic product at market prices;291819.40;
1975;FR;France;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;954373.00;
1975;FR;France;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;47.80;
1975;HR;Croatia;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;HR;Croatia;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;HR;Croatia;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;IT;Italy;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;IT;Italy;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;IT;Italy;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;CY;Cyprus;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;CY;Cyprus;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;CY;Cyprus;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;LV;Latvia;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;LV;Latvia;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;LV;Latvia;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;LT;Lithuania;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;LT;Lithuania;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;LT;Lithuania;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;LU;Luxembourg;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;LU;Luxembourg;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;LU;Luxembourg;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;HU;Hungary;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;HU;Hungary;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;HU;Hungary;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;MT;Malta;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;MT;Malta;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;MT;Malta;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;NL;Netherlands;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;NL;Netherlands;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;NL;Netherlands;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;AT;Austria;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
1975;AT;Austria;Chain linked volumes (2010), million euro;B1GQ;Gross domestic product at market prices;NA;
1975;AT;Austria;Chain linked volumes, index 2010=100;B1GQ;Gross domestic product at market prices;NA;
1975;PL;Poland;Current prices, million euro;B1GQ;Gross domestic product at market prices;NA;
