"country_bhi","country_abb_nuts","BHI_ID","nuts3"
"Sweden","SE",1,"SE224"
"Sweden","SE",1,"SE231"
"Sweden","SE",1,"SE232"
"Germany","DE",2,"DE803"
"Germany","DE",2,"DEF03"
"Germany","DE",2,"DEF06"
"Germany","DE",2,"DEF08"
"Germany","DE",2,"DEF0D"
"Germany","DE",2,"DEF0F"
"Sweden","SE",3,"SE224"
"Denmark","DK",4,"DK011"
"Denmark","DK",4,"DK012"
"Denmark","DK",4,"DK013"
"Denmark","DK",4,"DK021"
"Denmark","DK",4,"DK022"
"Sweden","SE",5,"SE212"
"Sweden","SE",5,"SE213"
"Sweden","SE",5,"SE221"
"Sweden","SE",5,"SE224"
"Denmark","DK",6,"DK014"
"Poland","PL",7,"PL424"
"Poland","PL",8,"PL621"
"Poland","PL",8,"PL633"
"Poland","PL",8,"PL634"
"Russia","PL",9,"PL621"
"Russia","PL",9,"PL622"
"Denmark","DK",10,"DK013"
"Denmark","DK",10,"DK021"
"Denmark","DK",10,"DK022"
"Denmark","DK",10,"DK042"
"Denmark","DK",10,"DK050"
"Sweden","SE",11,"SE214"
"Poland","PL",12,"PL634"
"Russia","LT",13,"LT003"
"Lithuania","LV",14,"LV003"
"Lithuania","LT",14,"LT003"
"Latvia","LV",15,"LV003"
"Latvia","LT",15,"LT003"
"Estonia","EE",16,"EE004"
"Sweden","SE",17,"SE123"
"Sweden","SE",17,"SE213"
"Sweden","SE",17,"SE214"
"Sweden","SE",17,"SE221"
"Latvia","EE",18,"EE004"
"Latvia","LV",18,"LV003"
"Latvia","LV",18,"LV006"
"Latvia","LV",18,"LV007"
"Latvia","LV",18,"LV009"
"Estonia","EE",19,"EE004"
"Estonia","LV",19,"LV007"
"Sweden","SE",20,"SE110"
"Sweden","SE",20,"SE122"
"Sweden","SE",20,"SE123"
"Denmark","DK",21,"DK022"
"Denmark","DK",21,"DK031"
"Denmark","DK",21,"DK032"
"Denmark","DK",21,"DK041"
"Denmark","DK",21,"DK042"
"Estonia","EE",22,"EE004"
"Russia","EE",23,"EE007"
"Estonia","EE",24,"EE001"
"Estonia","EE",24,"EE004"
"Estonia","EE",24,"EE006"
"Estonia","EE",24,"EE007"
"Sweden","SE",25,"SE110"
"Sweden","SE",25,"SE121"
"Finland","FI",26,"FI200"
"Sweden","SE",27,"SE121"
"Sweden","SE",27,"SE313"
"Sweden","SE",27,"SE321"
"Sweden","SE",27,"SE331"
"Finland","FI",28,"FI194"
"Finland","FI",28,"FI195"
"Finland","FI",28,"FI196"
"Finland","FI",28,"FI200"
"Sweden","SE",29,"SE331"
"Germany","DK",30,"DK032"
"Germany","DE",30,"DEF01"
"Germany","DE",30,"DEF0C"
"Finland","FI",31,"FI194"
"Finland","FI",31,"FI195"
"Sweden","SE",32,"SE331"
"Sweden","SE",32,"SE332"
"Finland","FI",33,"FI195"
"Finland","SE",33,"SE332"
"Sweden","SE",34,"SE224"
"Denmark","DK",35,"DK011"
"Denmark","DK",35,"DK012"
"Denmark","DK",35,"DK013"
"Denmark","DK",36,"DK022"
"Germany","DE",37,"DEF02"
"Germany","DE",37,"DEF08"
"Germany","DE",37,"DEF0A"
"Germany","DE",37,"DEF0B"
"Germany","DE",37,"DEF0C"
"Denmark","DK",38,"DK022"
