"year","value","rgn_id","bhi_goal","unit","data_descrip"
2005,74.75,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2006,55,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2007,65.25,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2008,62.5,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2009,59.25,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2010,39,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2011,41.5,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2012,31.75,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2013,19.5,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2014,37.25,1,"MAR","ton","Rainbow trout production allocated to BHI region"
2006,1388.75,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2007,957.5,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2008,1492.5,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2009,710.5,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2010,894,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2011,961,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2012,907,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2013,917,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2014,1005,2,"MAR","ton","Rainbow trout production allocated to BHI region"
2006,2459.25,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2007,1860,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2008,3427.25,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2009,4006.5,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2010,3904,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2011,4243.75,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2012,4152.75,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2013,4121.75,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2014,4359,3,"MAR","ton","Rainbow trout production allocated to BHI region"
2005,4.2,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2006,4,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2007,4,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2008,4.4,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2009,2.8,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2010,2.8,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2011,5.2,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2012,6,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2013,4.4,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2014,4,4,"MAR","ton","Rainbow trout production allocated to BHI region"
2005,74.75,5,"MAR","ton","Rainbow trout production allocated to BHI region"
2006,55,5,"MAR","ton","Rainbow trout production allocated to BHI region"
2007,65.25,5,"MAR","ton","Rainbow trout production allocated to BHI region"
2008,62.5,5,"MAR","ton","Rainbow trout production allocated to BHI region"
2009,59.25,5,"MAR","ton","Rainbow trout production allocated to BHI region"
2010,39,5,"MAR","ton","Rainbow trout production allocated to BHI region"
2011,41.5,5,"MAR","ton","Rainbow trout production allocated to BHI region"
