"location","value","variable","unit","data_descrip","bhi_goal"
"Aland Sea",4,"fish_CR","count","species presence/absence","SPP"
"Aland Sea",3,"fish_EN","count","species presence/absence","SPP"
"Aland Sea",80,"fish_LC","count","species presence/absence","SPP"
"Aland Sea",9,"fish_NT","count","species presence/absence","SPP"
"Aland Sea",2,"fish_RE","count","species presence/absence","SPP"
"Aland Sea",7,"fish_VU","count","species presence/absence","SPP"
"Aland Sea",1,"invert_EN","count","species presence/absence","SPP"
"Aland Sea",992,"invert_LC","count","species presence/absence","SPP"
"Aland Sea",10,"invert_NT","count","species presence/absence","SPP"
"Aland Sea",18,"invert_VU","count","species presence/absence","SPP"
"Aland Sea",2,"macrophytes_EN","count","species presence/absence","SPP"
"Aland Sea",344,"macrophytes_LC","count","species presence/absence","SPP"
"Aland Sea",4,"macrophytes_NT","count","species presence/absence","SPP"
"Aland Sea",4,"macrophytes_VU","count","species presence/absence","SPP"
"Aland Sea",1,"mammals_CR","count","species presence/absence","SPP"
"Aland Sea",1,"mammals_LC","count","species presence/absence","SPP"
"Aland Sea",1,"mammals_NT","count","species presence/absence","SPP"
"Aland Sea",2,"mammals_VU","count","species presence/absence","SPP"
"Arkona Basin",4,"fish_CR","count","species presence/absence","SPP"
"Arkona Basin",3,"fish_EN","count","species presence/absence","SPP"
"Arkona Basin",80,"fish_LC","count","species presence/absence","SPP"
"Arkona Basin",9,"fish_NT","count","species presence/absence","SPP"
"Arkona Basin",2,"fish_RE","count","species presence/absence","SPP"
"Arkona Basin",7,"fish_VU","count","species presence/absence","SPP"
"Arkona Basin",1,"invert_EN","count","species presence/absence","SPP"
"Arkona Basin",1147,"invert_LC","count","species presence/absence","SPP"
"Arkona Basin",12,"invert_NT","count","species presence/absence","SPP"
"Arkona Basin",20,"invert_VU","count","species presence/absence","SPP"
"Arkona Basin",2,"macrophytes_EN","count","species presence/absence","SPP"
"Arkona Basin",300,"macrophytes_LC","count","species presence/absence","SPP"
"Arkona Basin",4,"macrophytes_NT","count","species presence/absence","SPP"
"Arkona Basin",4,"macrophytes_VU","count","species presence/absence","SPP"
"Arkona Basin",1,"mammals_CR","count","species presence/absence","SPP"
"Arkona Basin",1,"mammals_LC","count","species presence/absence","SPP"
"Arkona Basin",1,"mammals_NT","count","species presence/absence","SPP"
"Arkona Basin",2,"mammals_VU","count","species presence/absence","SPP"
"Bay of Mecklenburg",4,"fish_CR","count","species presence/absence","SPP"
"Bay of Mecklenburg",3,"fish_EN","count","species presence/absence","SPP"
"Bay of Mecklenburg",80,"fish_LC","count","species presence/absence","SPP"
"Bay of Mecklenburg",9,"fish_NT","count","species presence/absence","SPP"
"Bay of Mecklenburg",2,"fish_RE","count","species presence/absence","SPP"
"Bay of Mecklenburg",7,"fish_VU","count","species presence/absence","SPP"
"Bay of Mecklenburg",1,"invert_EN","count","species presence/absence","SPP"
"Bay of Mecklenburg",1291,"invert_LC","count","species presence/absence","SPP"
"Bay of Mecklenburg",13,"invert_NT","count","species presence/absence","SPP"
"Bay of Mecklenburg",23,"invert_VU","count","species presence/absence","SPP"
"Bay of Mecklenburg",2,"macrophytes_EN","count","species presence/absence","SPP"
"Bay of Mecklenburg",300,"macrophytes_LC","count","species presence/absence","SPP"
"Bay of Mecklenburg",4,"macrophytes_NT","count","species presence/absence","SPP"
"Bay of Mecklenburg",4,"macrophytes_VU","count","species presence/absence","SPP"
"Bay of Mecklenburg",1,"mammals_CR","count","species presence/absence","SPP"
"Bay of Mecklenburg",1,"mammals_LC","count","species presence/absence","SPP"
"Bay of Mecklenburg",1,"mammals_NT","count","species presence/absence","SPP"
"Bay of Mecklenburg",2,"mammals_VU","count","species presence/absence","SPP"
"Bornholm Basin",4,"fish_CR","count","species presence/absence","SPP"
"Bornholm Basin",3,"fish_EN","count","species presence/absence","SPP"
"Bornholm Basin",80,"fish_LC","count","species presence/absence","SPP"
"Bornholm Basin",9,"fish_NT","count","species presence/absence","SPP"
"Bornholm Basin",2,"fish_RE","count","species presence/absence","SPP"
"Bornholm Basin",7,"fish_VU","count","species presence/absence","SPP"
"Bornholm Basin",1,"invert_EN","count","species presence/absence","SPP"
"Bornholm Basin",1114,"invert_LC","count","species presence/absence","SPP"
"Bornholm Basin",11,"invert_NT","count","species presence/absence","SPP"
"Bornholm Basin",18,"invert_VU","count","species presence/absence","SPP"
