MPROG;PURPM;Country;RLABO;STATN;MYEAR;icesDATE;year;Date;Latitude;Longitude;Species;SEXCO;NOINP;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;SUBNO;BULKID;FINFL;tblAnalysisID;tblParamID;tblBioID;tblSampleID
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;511;;;0;44217833;3665918;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;519;;;0;44217834;3665924;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;510;;;0;44217839;3665917;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;3;y;;;;;;;;;;;;;;;;;6503;;;0;44217840;3665930;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;513;;;0;44217841;3665919;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;514;;;0;44217842;3665920;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;515;;;0;44217843;3665921;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;516;;;0;44217844;3665922;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;518;;;0;44217845;3665923;1839710
BMP;T;Sweden;SERI;Utlaengan;1998;22/09/1998;1998;1998-09-22;55.9491;15.781;Clupea harengus;F;1;WO;;B-BIO;AGMEA;;;4;y;;;;;;;;;;;;;;;;;6509;;;0;44217846;3665936;1839710
