" ","score","status","future"
"Index",76.15,,78.67
"Food Provision",13.6,12.37,14.82
". Fisheries",14.47,13.16,15.78
". Mariculture",15.66,15.56,15.76
"Artisanal Fishing Opportunity",71.89,64.42,79.36
"Natural Products",65.13,60.51,69.75
"Carbon Storage",79.03,74.4,83.66
"Coastal Protection",94.46,93.15,95.78
"Tourism & Recreation",76.04,73.27,78.81
"Coastal Livelihoods & Economies",92.5,99.78,85.22
". Livelihoods",99.81,99.63,100
". Economies",91.4,99.87,82.92
"Sense of Place",91.81,91.27,92.58
". Iconic Species",71.32,68.65,74
". Lasting Special Places",100,100,100
"Clean Waters",83.42,77.14,89.7
"Biodiversity",93.77,89.66,97.88
". Habitats",93.76,89.89,97.63
". Species",93.78,89.43,98.12
