" ","score","status","future","trend","pressures","resilience"
"Index",78.09,,78.66,,,
"Food Provision",7.8,6.97,8.63,0,,
". Fisheries",8.95,8,9.9,0,16.06,88.2
". Mariculture",0.01,0.01,0.01,0,15.47,81.59
"Artisanal Fishing Opportunity",72.72,64.52,80.93,-0.01,10.7,89.05
"Natural Products",96.17,92.34,100,0.31,10.15,90.22
"Carbon Storage",,,,,13.72,92.15
"Coastal Protection",100,100,100,0.08,32.13,87.34
"Tourism & Recreation",62.34,57.69,66.99,-0.04,35.82,93.67
"Coastal Livelihoods & Economies",77.89,100,55.79,-0.55,,
". Livelihoods",,,,-0.11,14.08,67.05
". Economies",77.89,100,55.79,-1,14.18,83.24
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,14.29,89.44
". Lasting Special Places",100,100,100,0,22.01,91.4
"Clean Waters",87.64,79.67,95.62,0.06,45.42,93.67
"Biodiversity",98.26,96.52,100,0.01,,
". Habitats",100,100,100,0.01,11.35,88.85
". Species",96.52,93.03,100,0.02,18.55,87.5
