" ","score","status","future","trend","pressures","resilience"
"Index",78.91,,79.88,,,
"Food Provision",16.41,15,17.81,0,,
". Fisheries",16.41,15,17.81,0,21.17,78.01
". Mariculture",0,0,0,0,21.93,70.6
"Artisanal Fishing Opportunity",65.69,59.51,71.86,0.02,19.12,78.97
"Natural Products",45.84,51.88,39.81,-0.67,16.93,82.43
"Carbon Storage",100,100,100,0.5,19.28,81.48
"Coastal Protection",99.98,99.97,100,0.08,38.38,81.48
"Tourism & Recreation",87.94,80.73,95.15,0.07,45.52,85.27
"Coastal Livelihoods & Economies",86.97,99.81,74.14,-0.55,,
". Livelihoods",99.81,99.63,100,-0.11,22.14,55.75
". Economies",74.14,100,48.27,-1,22.2,68.48
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,21.06,79.58
". Lasting Special Places",100,100,100,0,28.22,79.58
"Clean Waters",88.79,77.58,100,0.35,57.05,85.27
"Biodiversity",97.47,94.93,100,0.06,,
". Habitats",100,100,100,0.18,18.61,77.25
". Species",94.93,89.86,100,-0.05,24.21,75.13
