"TIME","TIME_LABEL","GEO","GEO_LABEL","SEX","AGE","UNIT","Value","Flag and Footnotes"
1999,1999,"AT","Austria","Total","From 15 to 64 years","Percentage",68.2,""
2000,2000,"AT","Austria","Total","From 15 to 64 years","Percentage",67.9,""
2001,2001,"AT","Austria","Total","From 15 to 64 years","Percentage",67.8,""
2002,2002,"AT","Austria","Total","From 15 to 64 years","Percentage",68.1,""
2003,2003,"AT","Austria","Total","From 15 to 64 years","Percentage",68.2,""
2004,2004,"AT","Austria","Total","From 15 to 64 years","Percentage",65.3,"b"
2005,2005,"AT","Austria","Total","From 15 to 64 years","Percentage",67.4,"b"
2006,2006,"AT","Austria","Total","From 15 to 64 years","Percentage",68.6,""
2007,2007,"AT","Austria","Total","From 15 to 64 years","Percentage",69.9,"b"
2008,2008,"AT","Austria","Total","From 15 to 64 years","Percentage",70.8,""
2009,2009,"AT","Austria","Total","From 15 to 64 years","Percentage",70.3,""
2010,2010,"AT","Austria","Total","From 15 to 64 years","Percentage",70.8,""
2011,2011,"AT","Austria","Total","From 15 to 64 years","Percentage",71.1,""
2012,2012,"AT","Austria","Total","From 15 to 64 years","Percentage",71.4,""
2013,2013,"AT","Austria","Total","From 15 to 64 years","Percentage",71.4,""
2014,2014,"AT","Austria","Total","From 15 to 64 years","Percentage",71.1,""
1999,1999,"BE","Belgium","Total","From 15 to 64 years","Percentage",58.9,"b"
2000,2000,"BE","Belgium","Total","From 15 to 64 years","Percentage",60.9,""
2001,2001,"BE","Belgium","Total","From 15 to 64 years","Percentage",59.7,"b"
2002,2002,"BE","Belgium","Total","From 15 to 64 years","Percentage",59.7,""
2003,2003,"BE","Belgium","Total","From 15 to 64 years","Percentage",59.3,""
2004,2004,"BE","Belgium","Total","From 15 to 64 years","Percentage",60.5,""
2005,2005,"BE","Belgium","Total","From 15 to 64 years","Percentage",61.1,"b"
2006,2006,"BE","Belgium","Total","From 15 to 64 years","Percentage",61,""
2007,2007,"BE","Belgium","Total","From 15 to 64 years","Percentage",62,""
2008,2008,"BE","Belgium","Total","From 15 to 64 years","Percentage",62.4,""
2009,2009,"BE","Belgium","Total","From 15 to 64 years","Percentage",61.6,""
2010,2010,"BE","Belgium","Total","From 15 to 64 years","Percentage",62,""
2011,2011,"BE","Belgium","Total","From 15 to 64 years","Percentage",61.9,"b"
2012,2012,"BE","Belgium","Total","From 15 to 64 years","Percentage",61.8,""
2013,2013,"BE","Belgium","Total","From 15 to 64 years","Percentage",61.8,""
2014,2014,"BE","Belgium","Total","From 15 to 64 years","Percentage",61.9,""
1999,1999,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",NA,""
2000,2000,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",51.5,""
2001,2001,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",50.7,"b"
2002,2002,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",51.1,""
2003,2003,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",53.1,"b"
2004,2004,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",55.1,""
2005,2005,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",55.8,"b"
2006,2006,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",58.6,""
2007,2007,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",61.7,""
2008,2008,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",64,"b"
2009,2009,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",62.6,""
2010,2010,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",59.8,"b"
2011,2011,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",58.4,"b"
2012,2012,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",58.8,""
2013,2013,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",59.5,""
2014,2014,"BG","Bulgaria","Total","From 15 to 64 years","Percentage",61,""
1999,1999,"HR","Croatia","Total","From 15 to 64 years","Percentage",NA,""
2000,2000,"HR","Croatia","Total","From 15 to 64 years","Percentage",NA,""
2001,2001,"HR","Croatia","Total","From 15 to 64 years","Percentage",NA,""
2002,2002,"HR","Croatia","Total","From 15 to 64 years","Percentage",52.9,""
2003,2003,"HR","Croatia","Total","From 15 to 64 years","Percentage",53.4,"b"
2004,2004,"HR","Croatia","Total","From 15 to 64 years","Percentage",54.9,""
2005,2005,"HR","Croatia","Total","From 15 to 64 years","Percentage",55,"b"
2006,2006,"HR","Croatia","Total","From 15 to 64 years","Percentage",55.6,"b"
