"rgn_id","species","sust_coeff"
1,"Atlantic salmon",0.53
1,"Blue mussel",0.77
1,"European flat oyster",0.87
1,"Rainbow trout",0.53
2,"Atlantic cod",0.283333
2,"Atlantic salmon",0.5
2,"Blue mussel",0.93
2,"European eel",0.43
2,"European flounder",0.44401
2,"European whitefish",0.44401
2,"Marine fishes nei",0.477778
2,"Rainbow trout",0.566667
2,"Sea trout",0.466667
2,"Turbot",0.5
3,"Atlantic cod",0.283333
3,"Atlantic salmon",0.5
3,"Blue mussel",0.93
3,"European eel",0.43
3,"European flounder",0.44401
3,"European whitefish",0.44401
3,"Marine fishes nei",0.477778
3,"Rainbow trout",0.566667
3,"Sea trout",0.466667
3,"Turbot",0.5
4,"Bastard halibut",0.44401
4,"Blue mussel",0.93
4,"Clams, etc. nei",0.811765
4,"Common edible cockle",0.733333
4,"European seabass",0.57
4,"Pacific cupped oyster",0.53
4,"Rainbow trout",0.566667
4,"Turbot",0.5
5,"Atlantic salmon",0.53
5,"Blue mussel",0.77
5,"European flat oyster",0.87
5,"Rainbow trout",0.53
6,"Atlantic cod",0.283333
6,"Atlantic salmon",0.5
6,"Blue mussel",0.93
6,"European eel",0.43
6,"European flounder",0.44401
6,"European whitefish",0.44401
6,"Marine fishes nei",0.477778
6,"Rainbow trout",0.566667
6,"Sea trout",0.466667
6,"Turbot",0.5
7,"Atlantic cod",0.283333
7,"Atlantic salmon",0.5
7,"Blue mussel",0.93
7,"European eel",0.43
7,"European flounder",0.44401
7,"European whitefish",0.44401
7,"Marine fishes nei",0.477778
7,"Rainbow trout",0.566667
7,"Sea trout",0.466667
7,"Turbot",0.5
8,"Bastard halibut",0.44401
8,"Blue mussel",0.93
8,"Clams, etc. nei",0.811765
8,"Common edible cockle",0.733333
8,"European seabass",0.57
8,"Pacific cupped oyster",0.53
8,"Rainbow trout",0.566667
8,"Turbot",0.5
9,"Atlantic cod",0.283333
9,"Atlantic salmon",0.5
9,"Blue mussel",0.93
9,"European eel",0.43
9,"European flounder",0.44401
9,"European whitefish",0.44401
9,"Marine fishes nei",0.477778
9,"Rainbow trout",0.566667
9,"Sea trout",0.466667
9,"Turbot",0.5
10,"Bastard halibut",0.44401
10,"Blue mussel",0.93
10,"Clams, etc. nei",0.811765
10,"Common edible cockle",0.733333
10,"European seabass",0.57
10,"Pacific cupped oyster",0.53
10,"Rainbow trout",0.566667
10,"Turbot",0.5
11,"Atlantic salmon",0.53
11,"Blue mussel",0.77
11,"European flat oyster",0.87
11,"Rainbow trout",0.53
12,"Atlantic cod",0.283333
12,"Atlantic salmon",0.5
12,"Blue mussel",0.93
12,"European eel",0.43
12,"European flounder",0.44401
12,"European whitefish",0.44401
12,"Marine fishes nei",0.477778
12,"Rainbow trout",0.566667
12,"Sea trout",0.466667
12,"Turbot",0.5
13,"Bastard halibut",0.44401
