rgn_id,score,dimension
1,NA,status
2,NA,status
3,NA,status
4,NA,status
5,NA,status
6,NA,status
7,NA,status
8,NA,status
9,NA,status
10,NA,status
11,NA,status
12,NA,status
13,NA,status
14,NA,status
15,NA,status
16,NA,status
17,NA,status
18,NA,status
19,NA,status
20,NA,status
21,NA,status
22,NA,status
23,NA,status
24,NA,status
25,NA,status
26,NA,status
27,NA,status
28,NA,status
29,NA,status
30,NA,status
31,NA,status
32,NA,status
33,NA,status
34,NA,status
35,NA,status
36,NA,status
37,NA,status
38,NA,status
39,NA,status
40,NA,status
41,NA,status
42,NA,status
