"rgn_id","pressures.score"
1,0.0320959
2,0.0320959
3,0.0320959
4,0.0320959
5,0.0320959
6,0.0320959
7,0.0320959
8,0.0320959
9,0.0320959
10,0.0320959
11,0.0320959
12,0.0320959
13,0.0320959
14,0.0320959
15,0.0320959
16,NA
17,0.0320959
18,0.0320959
19,0.0320959
20,0.0320959
21,0.0320959
22,0.0320959
23,0.0320959
24,0.0320959
25,0.0320959
26,0.0320959
27,0.0320959
28,0.0320959
29,0.0320959
30,0.0320959
31,0.0320959
32,0.0320959
33,0.0320959
34,0.0320959
35,0.0320959
36,0.0320959
37,0.0320959
38,0.0320959
39,0.0320959
40,NA
41,0.0320959
42,NA
