"TIME","TIME_LABEL","GEO","GEO_LABEL","SEX","AGE","UNIT","Value","Flag and Footnotes"
1999,1999,"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","From 15 to 64 years","Percentage",53.6,"b"
1999,1999,"BE21","Prov. Antwerpen","Total","From 15 to 64 years","Percentage",59.9,"b"
1999,1999,"BE22","Prov. Limburg (BE)","Total","From 15 to 64 years","Percentage",57.9,"b"
1999,1999,"BE23","Prov. Oost-Vlaanderen","Total","From 15 to 64 years","Percentage",62.4,"b"
1999,1999,"BE24","Prov. Vlaams-Brabant","Total","From 15 to 64 years","Percentage",65.9,"b"
1999,1999,"BE25","Prov. West-Vlaanderen","Total","From 15 to 64 years","Percentage",63.8,"b"
1999,1999,"BE31","Prov. Brabant Wallon","Total","From 15 to 64 years","Percentage",60,"b"
1999,1999,"BE32","Prov. Hainaut","Total","From 15 to 64 years","Percentage",50.5,"b"
1999,1999,"BE33","Prov. Liège","Total","From 15 to 64 years","Percentage",56.6,"b"
1999,1999,"BE34","Prov. Luxembourg (BE)","Total","From 15 to 64 years","Percentage",60.3,"b"
1999,1999,"BE35","Prov. Namur","Total","From 15 to 64 years","Percentage",57.4,"b"
1999,1999,"BG31","Severozapaden","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"BG32","Severen tsentralen","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"BG33","Severoiztochen","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"BG34","Yugoiztochen","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"BG41","Yugozapaden","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"BG42","Yuzhen tsentralen","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"CZ01","Praha","Total","From 15 to 64 years","Percentage",73.1,""
1999,1999,"CZ02","Strední Cechy","Total","From 15 to 64 years","Percentage",67.1,""
1999,1999,"CZ03","Jihozápad","Total","From 15 to 64 years","Percentage",67.6,""
1999,1999,"CZ04","Severozápad","Total","From 15 to 64 years","Percentage",61.7,""
1999,1999,"CZ05","Severovýchod","Total","From 15 to 64 years","Percentage",66.3,""
1999,1999,"CZ06","Jihovýchod","Total","From 15 to 64 years","Percentage",65.4,""
1999,1999,"CZ07","Strední Morava","Total","From 15 to 64 years","Percentage",64.4,""
1999,1999,"CZ08","Moravskoslezsko","Total","From 15 to 64 years","Percentage",59.9,""
1999,1999,"DK01","Hovedstaden","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"DK02","Sjælland","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"DK03","Syddanmark","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"DK04","Midtjylland","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"DK05","Nordjylland","Total","From 15 to 64 years","Percentage",NA,""
1999,1999,"DE11","Stuttgart","Total","From 15 to 64 years","Percentage",69.8,""
1999,1999,"DE12","Karlsruhe","Total","From 15 to 64 years","Percentage",67.3,""
1999,1999,"DE13","Freiburg","Total","From 15 to 64 years","Percentage",67.6,""
