Code; Description; CodeType; Deprecated; Created; Modified; 
%DNAtail; % DNA in tail (a measure of the proportion of total DNA present in the comet tail); PARAM; False; 2012-03-07; 2012-03-07; 
%FDRD; % reduction in feeding; PARAM; False; 2009-02-05; 2009-02-05; 
%FemalePOP; % female population; PARAM; False; 2006-10-23; 2006-10-23; 
%GRC; % granulocytes (basophils  eosinophils plus neutrophils) of total blood cells; PARAM; False; 2016-04-15; 2016-05-09; 
%HCT; hematocrit - volume percentage of red blood cells in blood; PARAM; False; 2016-04-15; 2016-05-09; 
%iRBC; % immature red blood cells of total blood cells; PARAM; False; 2016-04-14; 2016-05-09; 
%LMS; % of Lysosomal membrane stability calculated as  (1-(sum of weighted score/75))*100; PARAM; False; 2013-05-06; 2014-07-23; 
%LYMC; % lymphocytes (T cells  B cells plus natural killer cells) of total blood cells; PARAM; False; 2016-04-15; 2016-05-09; 
%MalePOP; % male population; PARAM; False; 2006-10-23; 2006-10-23; 
%STERF; % sterile females (IMPS 5-6  INTS 2 or above); PARAM; False; 2006-10-23; 2006-10-23; 
%WBC; % white blood cells (leucocytes) of total blood cells; PARAM; False; 2016-04-14; 2016-05-09; 
21BNT; Benzo[b]naphtho[2 1-d]thiophene; PARAM; False; 2007-01-19; 2007-01-19; 
24D; 2 4-dichlorophenoxyacetic acid; PARAM; False; 2006-10-23; 2006-10-23; 
24DB; 2 4-Dichlorophenoxybutyric acid; PARAM; False; 2012-07-24; 2012-07-24; 
24DNT; 2 4-Dinitrotoluene; PARAM; False; 2007-07-31; 2007-07-31; 
24DP; Dichloroprop; PARAM; False; 2007-07-31; 2007-07-31; 
24DTE; 2 4-D total esters; PARAM; False; 2006-10-23; 2006-10-23; 
26DNT; 2 6-Dinitrotoluene; PARAM; False; 2007-07-31; 2007-07-31; 
2HBP; 2-Hydroxybiphenyl; PARAM; False; 2009-12-01; 2009-12-01; 
2HBP-QC; 2-Hydroxybiphenyl normalised (QC parameter); PARAM; False; 2015-06-19; 2015-06-19; 
2NT; 2-Nitrotoluene; PARAM; False; 2007-07-31; 2007-07-31; 
3NT; 3-Nitrotoluene; PARAM; False; 2007-07-31; 2007-07-31; 
4NT; 4-Nitrotoluene; PARAM; False; 2007-07-31; 2007-07-31; 
ABUND%C; Abundance coverage (%); PARAM; False; 2006-10-23; 2006-10-23; 
ABUNDNR; Abundance number (number counted); PARAM; False; 2006-10-23; 2015-08-28; 
ABUNDSC; Abundance scale (scale); PARAM; False; 2006-10-23; 2006-10-23; 
ACAN THO; Acanthochondria sp.; PARAM; False; 2006-10-23; 2006-10-23; 
ACANCEPH; ACANTHOCEPHALA (ERMS); PARAM; False; 2010-06-07; 2010-06-07; 
AChE; acetylcholine esterase activity (Unit example: amount acetylthiocholine (ACTC)/time/amount protein); PARAM; False; 2006-10-23; 2006-10-23; 
ACLFN; Aclonifen; PARAM; False; 2016-04-26; 2016-04-26; 
ACNE; acenaphthene; PARAM; False; 2006-10-23; 2006-10-23; 
ACNLE; acenaphthylene; PARAM; False; 2006-10-23; 2006-10-23; 
ACRNT; acrylonitrile; PARAM; False; 2012-02-21; 2012-02-21; 
AG; silver; PARAM; False; 2006-10-23; 2006-10-23; 
AGMAX; age (max); PARAM; False; 2006-10-23; 2006-10-23; 
AGMEA; age (mean); PARAM; False; 2006-10-23; 2006-10-23; 
AGMIN; age (min); PARAM; False; 2006-10-23; 2006-10-23; 
AIRTEMP; Air temperature (MATRX=SI); PARAM; False; 2006-10-23; 2014-11-05; 
AL; aluminium; PARAM; False; 2006-10-23; 2006-10-23; 
ALACL; alachlor; PARAM; False; 2007-05-10; 2007-05-10; 
ALAD; delta-aminolevulinic acid dehydratase; PARAM; False; 2006-10-23; 2013-05-02; 
ALCANC12; Dodecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC13; Tridecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC14; Tetradecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC15; Pentadecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC16; Hexadecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC17; Heptadecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC18; Octadecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC19; Nonadecane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC20; Eicosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC21; Heneicosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC22; Docosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC23; Tricosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC24; Tetracosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC25; Pentacosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC26; Hexacosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC27; Heptacosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC28; Octacosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC29; Nonacosane; PARAM; False; 2007-07-27; 2007-07-27; 
ALCANC30; Triacontane; PARAM; False; 2007-07-27; 2007-07-27; 
ALD; aldrin; PARAM; False; 2006-10-23; 2006-10-23; 
ALKY; total alkalinity; PARAM; False; 2006-10-23; 2006-10-23; 
AMON; ammonium (NH4-N); PARAM; False; 2006-10-23; 2006-10-23; 
AMTR; ametryn; PARAM; False; 2006-10-23; 2006-10-23; 
ANCI MYT; Ancistrum mytili; PARAM; False; 2012-03-05; 2012-03-05; 
ANISAKIX; ANISAKIDAE nematodes (Rubin ö1); PARAM; False; 2008-04-17; 2008-04-17; 
ANT; anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
ANT2M; 2-methylanthracene; PARAM; False; 2013-05-14; 2013-05-14; 
ANTH; Anthanthrene; PARAM; False; 2007-01-19; 2007-01-19; 
AOX-U; absorbable organic halogens - unspecified; PARAM; False; 2012-09-04; 2012-09-04; 
APOPTS; apoptosis; PARAM; False; 2008-06-10; 2008-06-11; 
ARAMT; aramite; PARAM; False; 2012-02-21; 2012-02-21; 
ARO1254; Arochlor 1254; PARAM; False; 2010-12-16; 2010-12-16; 
Aroclor; Aroclor; PARAM; False; 2012-06-12; 2012-06-12; 
AS; arsenic; PARAM; False; 2006-10-23; 2006-10-23; 
ASH; ash content; PARAM; False; 2006-10-23; 2006-10-23; 
ATEMP-PCO2; Analytical temperature for PCO2; PARAM; False; 2014-10-03; 2014-10-03; 
ATEMP-PH; Analytical temperature for pH; PARAM; False; 2014-10-03; 2014-10-03; 
ATRZ; atrazine; PARAM; False; 2006-10-23; 2006-10-23; 
AZE; azinphos-ethyl; PARAM; False; 2006-10-23; 2006-10-23; 
AZM; azinphos-methyl; PARAM; False; 2006-10-23; 2006-10-23; 
B; boron; PARAM; False; 2006-10-23; 2006-10-23; 
BA; barium; PARAM; False; 2006-10-23; 2006-10-23; 
BAA; benzo[a]anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
BAAM7; Benz[a]anthracene  7-methyl-; PARAM; False; 2006-10-23; 2006-10-23; 
BAEP; benzo[a]pyrene + benzo[e]pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
BAF; Benzo[a]fluoranthene; PARAM; False; 2012-03-10; 2012-03-10; 
BAP; benzo[a]pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
BAP3OH; 3-hydroxy benzo(a)pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
BAP3OH-QC; 3-hydroxy benzo(a)pyrene normalised (QC parameter); PARAM; False; 2013-08-02; 2013-08-02; 
BAPM7; Benzo[a]pyrene  7-methyl-; PARAM; False; 2006-10-23; 2006-10-23; 
BASFC; basophilic foci; PARAM; False; 2006-10-23; 2008-06-11; 
BB209; decabromobiphenyl (PBB209); PARAM; False; 2006-10-23; 2006-10-23; 
BBA; benz[b]anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
BBF; benzo[b]fluoranthene; PARAM; False; 2006-10-23; 2006-10-23; 
BBJF; benzo[b+j]fluoranthene; PARAM; False; 2006-10-23; 2006-10-23; 
BBJKF; benzo[b+j k]fluoranthene; PARAM; False; 2006-10-23; 2006-10-23; 
BBKF; benzo[b+k]fluoranthene; PARAM; False; 2006-10-23; 2006-10-23; 
BBP; Benzyl butyl phthalate; PARAM; False; 2016-04-08; 2016-04-08; 
BD100; 2 2' 4 4' 6-pentabromodiphenyl ether (PBDE100); PARAM; False; 2006-10-23; 2006-10-23; 
BD105; 2 3 3' 4 4'-pentabromodiphenyl ether (PBDE105); PARAM; False; 2006-10-23; 2006-10-23; 
BD116; Benzene  pentabromophenoxy- (PBDE116); PARAM; False; 2006-10-23; 2006-10-23; 
BD119; 2 3' 4 4' 6-pentabromodiphenyl ether (BDE119); PARAM; False; 2006-10-23; 2012-10-01; 
BD126; 3 3' 4 4' 5-pentabromodiphenyl ether (PBDE126); PARAM; False; 2006-10-23; 2006-10-23; 
BD126+155; BD126 + BD155; PARAM; False; 2015-03-17; 2015-03-17; 
BD138; 2 2' 3 4 4' 5'-hexabromodiphenyl ether (PBDE138); PARAM; False; 2006-10-23; 2006-10-23; 
BD139; 2 2' 3 4 4' 6-Hexabromodiphenyl ether (PBDE139); PARAM; False; 2015-03-17; 2015-03-17; 
BD140; 2 2' 3 4 4' 6'-hexabromodiphenyl ether (PBDE140); PARAM; False; 2006-10-23; 2006-10-23; 
