"species_name","taxa"
"Abra prismatica","benthos"
"Amauropsis islandica","benthos"
"Amblyraja radiata","fish"
"Ammodytes marinus","fish"
"Ammodytes tobianus","fish"
"Anarhichas lupus","fish"
"Anguilla anguilla","fish"
"Atelecyclus rotundatus","benthos"
"Aythya fuligula ","birds"
"Boreotrophon truncatus","benthos"
"Cepphus grylle arcticus ","birds"
"Charadrius hiaticula hiaticula ","birds"
"Clelandella miliaris","benthos"
"Cliona celata","benthos"
"Clupea harengus","fish"
"Coregonus maraena","fish"
"Corystes cassivelaunus","benthos"
"Cyclopterus lumpus","fish"
"Enchelyopus cimbrius","fish"
"Entelurus aequoreus","fish"
"Epitonium clathrus","benthos"
"Euspira pallida","benthos"
"Fucus serratus","macrophytes"
"Fucus vesiculosus","macrophytes"
"Furcellaria lumbricalis","macrophytes"
"Gadus morhua","fish"
"Galeorhinus galeus","fish"
"Halichoerus grypus","mammals"
"Haploops tenuis","benthos"
"Haploops tubicola","benthos"
"Hippasteria phrygiana","benthos"
"Hippolyte varians","benthos"
"Inachus dorsettensis","benthos"
"Labrus bergylta","fish"
"Labrus mixtus","fish"
"Lamna nasus","fish"
"Lampetra fluviatilis","fish"
"Lamprothamnium papulosum","macrophytes"
"Limosa limosa ","birds"
"Liparis liparis","fish"
"Liparis montagui","fish"
"Lumpenus lampretaeformis","fish"
"Lutra lutra","mammals"
"Macoma calcarea","benthos"
"Macroplea mutica","benthos"
"Melanogrammus aeglefinus","fish"
"Merlangius merlangus","fish"
"Merluccius merluccius","fish"
"Modiolus modiolus","benthos"
"Molva molva","fish"
"Mya truncata","benthos"
"Myoxocephalus scorpius","fish"
"Nerophis lumbriciformis","fish"
"Nucula nucleus","benthos"
"Oenanthe oenanthe ","birds"
"Pelonaia corrugata","benthos"
"Petromyzon marinus","fish"
"Phoca vitulina vitulina","mammals"
"Phocoena phocoena","mammals"
"Pontoporeia femorata","benthos"
"Raja clavata","fish"
"Rissa tridactyla ","birds"
"Sabella pavonina","benthos"
"Salmo salar","fish"
"Salmo trutta","fish"
"Scophthalmus maximus","fish"
"Scrobicularia plana","benthos"
"Scyliorhinus canicula","fish"
"Solaster endeca","benthos"
"Somateria mollissima ","birds"
"Spinachia spinachia","fish"
"Squalus acanthias","fish"
"Stomphia coccinea","benthos"
"Symphodus melops","fish"
"Syngnathus acus","fish"
"Syngnathus typhle","fish"
"Taurulus bubalis","fish"
"Trachinus draco","fish"
"Tringa totanus ","birds"
"Vanellus vanellus ","birds"
"Zoarces viviparus","fish"
"Zostera marina","macrophytes"
"Zostera noltii","macrophytes"
"Alderia modesta","benthos"
"Arenaria interpres ","birds"
"Calidris alpina schinzii ","birds"
"Corophium multisetosum","benthos"
"Deshayesorchestia deshayesii","benthos"
"Hydroprogne caspia ","birds"
"Larus melanocephalus ","birds"
"Chara horrida","macrophytes"
"Parvicardium hauniense","benthos"
"Alburnus alburnus","fish"
"Charadrius alexandirinus ","birds"
"Philomachus pugnax ","birds"
"Potamogeton friesii","macrophytes"
"Monoporeia affinis","benthos"
"Chara tomentosa","macrophytes"
"Saduria entomon","benthos"
"Alosa fallax","fish"
"Chara connivens","macrophytes"
"Cepphus grylle grylle ","birds"
"Crassula aquatica","macrophytes"
"Larus fuscus fuscus ","birds"
"Lota lota","fish"
"Melanitta fusca ","birds"
"Cobitis taenia","fish"
"Pelecus cultratus","fish"
"Aythya marila ","birds"
"Phoxinus phoxinus","fish"
"Podiceps auritus ","birds"
"Pusa hispida botnica","mammals"
"Triglopsis quadricornis","fish"
"Nitellopsis obtusa","macrophytes"
"Cottus gobio","fish"
"Alisma wahlenbergii","macrophytes"
"Aspius aspius","fish"
"Chara braunii","macrophytes"
"Coregonus albula","fish"
"Hippuris tetraphylla","macrophytes"
"Nitella hyalina","macrophytes"
"Persicaria foliosa","macrophytes"
"Thymallus thymallus","fish"
"Xenus cinereus ","birds"
"Calidris temminckii ","birds"
