"country_bhi","country_abb_nuts","BHI_ID","nuts3"
"Sweden","SE",1,"SE224"
"Sweden","SE",1,"SE231"
"Sweden","SE",1,"SE232"
"Denmark","DK",2,"DK013"
"Denmark","DK",2,"DK021"
"Denmark","DK",2,"DK022"
"Denmark","DK",2,"DK042"
"Denmark","DK",2,"DK050"
"Denmark","DK",3,"DK022"
"Denmark","DK",3,"DK031"
"Denmark","DK",3,"DK032"
"Denmark","DK",3,"DK041"
"Denmark","DK",3,"DK042"
"Germany","DK",4,"DK032"
"Germany","DE",4,"DEF01"
"Germany","DE",4,"DEF0C"
"Sweden","SE",5,"SE224"
"Denmark","DK",6,"DK011"
"Denmark","DK",6,"DK012"
"Denmark","DK",6,"DK013"
"Denmark","DK",7,"DK022"
"Germany","DE",8,"DEF02"
"Germany","DE",8,"DEF08"
"Germany","DE",8,"DEF0A"
"Germany","DE",8,"DEF0B"
"Germany","DE",8,"DEF0C"
"Denmark","DK",9,"DK022"
"Germany","DE",10,"DE803"
"Germany","DE",10,"DEF03"
"Germany","DE",10,"DEF06"
"Germany","DE",10,"DEF08"
"Germany","DE",10,"DEF0D"
"Germany","DE",10,"DEF0F"
"Sweden","SE",11,"SE224"
"Denmark","DK",12,"DK011"
"Denmark","DK",12,"DK012"
"Denmark","DK",12,"DK013"
"Denmark","DK",12,"DK021"
"Denmark","DK",12,"DK022"
"Sweden","SE",14,"SE212"
"Sweden","SE",14,"SE213"
"Sweden","SE",14,"SE221"
"Sweden","SE",14,"SE224"
"Denmark","DK",15,"DK014"
"Poland","PL",17,"PL424"
"Poland","PL",17,"PL634"
"Poland","PL",18,"PL621"
"Poland","PL",18,"PL633"
"Poland","PL",18,"PL634"
"Russia","PL",19,"PL621"
"Russia","PL",19,"PL622"
"Sweden","SE",20,"SE214"
"Russia","LT",22,"LT003"
"Lithuania","LV",23,"LV003"
"Lithuania","LT",23,"LT003"
"Latvia","LV",24,"LV003"
"Latvia","LT",24,"LT003"
"Estonia","EE",25,"EE004"
"Sweden","SE",26,"SE123"
"Sweden","SE",26,"SE213"
"Sweden","SE",26,"SE214"
"Sweden","SE",26,"SE221"
"Latvia","EE",27,"EE004"
"Latvia","LV",27,"LV003"
"Latvia","LV",27,"LV006"
"Latvia","LV",27,"LV007"
"Latvia","LV",27,"LV009"
"Estonia","EE",28,"EE004"
"Estonia","LV",28,"LV007"
"Sweden","SE",29,"SE110"
"Sweden","SE",29,"SE122"
"Sweden","SE",29,"SE123"
"Estonia","EE",31,"EE004"
"Russia","EE",33,"EE007"
"Estonia","EE",34,"EE001"
"Estonia","EE",34,"EE004"
"Estonia","EE",34,"EE006"
"Estonia","EE",34,"EE007"
"Sweden","SE",35,"SE110"
"Sweden","SE",35,"SE121"
"Finland","FI",36,"FI200"
"Sweden","SE",37,"SE121"
"Sweden","SE",37,"SE313"
"Sweden","SE",37,"SE321"
"Sweden","SE",37,"SE331"
"Finland","FI",38,"FI194"
"Finland","FI",38,"FI195"
"Finland","FI",38,"FI196"
"Finland","FI",38,"FI200"
"Sweden","SE",39,"SE331"
"Finland","FI",40,"FI194"
"Finland","FI",40,"FI195"
"Sweden","SE",41,"SE331"
"Sweden","SE",41,"SE332"
"Finland","FI",42,"FI195"
"Finland","SE",42,"SE332"
