country_bhi;country_abb_nuts;BHI_ID;nuts3;MISASSIGNED;BHI_ID_manual;country_manual;correct_BHI_ID;correct_country
Germany;DE;10;DE803;;;;10;Germany
Germany;DE;4;DEF01;;;;4;Germany
Germany;DE;8;DEF02;;;;8;Germany
Germany;DE;10;DEF03;;;;10;Germany
Germany;DE;10;DEF06;;;;10;Germany
Germany;DE;8;DEF08;;;;8;Germany
Germany;DE;10;DEF08;;;;10;Germany
Germany;DE;8;DEF0A;;;;8;Germany
Germany;DE;8;DEF0B;;;;8;Germany
Germany;DE;4;DEF0C;;;;4;Germany
Germany;DE;8;DEF0C;;;;8;Germany
Germany;DE;10;DEF0D;;;;10;Germany
Germany;DE;10;DEF0F;;;;10;Germany
Denmark;DK;6;DK011;;;;6;Denmark
Denmark;DK;12;DK011;;;;12;Denmark
Denmark;DK;6;DK012;;;;6;Denmark
Denmark;DK;12;DK012;;;;12;Denmark
Denmark;DK;2;DK013;;;;2;Denmark
Denmark;DK;6;DK013;;;;6;Denmark
Denmark;DK;12;DK013;;;;12;Denmark
Denmark;DK;15;DK014;;;;15;Denmark
Denmark;DK;2;DK021;;;;2;Denmark
Denmark;DK;12;DK021;;;;12;Denmark
Denmark;DK;2;DK022;;;;2;Denmark
Denmark;DK;3;DK022;;;;3;Denmark
Denmark;DK;7;DK022;;;;7;Denmark
Denmark;DK;9;DK022;;;;9;Denmark
Denmark;DK;12;DK022;;;;12;Denmark
Denmark;DK;3;DK031;;;;3;Denmark
Denmark;DK;3;DK032;;;;3;Denmark
Germany;DK;4;DK032;;;;4;Germany
Denmark;DK;3;DK041;;;;3;Denmark
Denmark;DK;2;DK042;;;;2;Denmark
Denmark;DK;3;DK042;;;;3;Denmark
Denmark;DK;2;DK050;;;;2;Denmark
Estonia;EE;34;EE001;;;;34;Estonia
Estonia;EE;25;EE004;;;;25;Estonia
Latvia;EE;27;EE004;1;28;Estonia;28;Estonia
Estonia;EE;28;EE004;;;;28;Estonia
Estonia;EE;31;EE004;;;;31;Estonia
Estonia;EE;34;EE004;;;;34;Estonia
Estonia;EE;34;EE006;;;;34;Estonia
Russia;EE;33;EE007;1;34;Estonia;34;Estonia
Estonia;EE;34;EE007;;;;34;Estonia
Finland;FI;38;FI194;;;;38;Finland
Finland;FI;40;FI194;;;;40;Finland
Finland;FI;38;FI195;;;;38;Finland
Finland;FI;40;FI195;;;;40;Finland
Finland;FI;42;FI195;;;;42;Finland
Finland;FI;38;FI196;;;;38;Finland
Finland;FI;36;FI200;;;;36;Finland
Finland;FI;38;FI200;;;;38;Finland
Russia;LT;22;LT003;1;23;Lithuania;23;Lithuania
Lithuania;LT;23;LT003;;;;23;Lithuania
Latvia;LT;24;LT003;1;23;Lithuania;23;Lithuania
Lithuania;LV;23;LV003;1;24;Latvia;24;Latvia
Latvia;LV;24;LV003;;;;24;Latvia
Latvia;LV;27;LV003;;;;27;Latvia
Latvia;LV;27;LV006;;;;27;Latvia
Latvia;LV;27;LV007;;;;27;Latvia
Estonia;LV;28;LV007;1;27;Latvia;27;Latvia
Latvia;LV;27;LV009;;;;27;Latvia
Poland;PL;17;PL424;;;;17;Poland
Poland;PL;18;PL621;;;;18;Poland
Russia;PL;19;PL621;1;18;Poland;18;Poland
Russia;PL;19;PL622;1;18;Poland;18;Poland
Poland;PL;18;PL633;;;;18;Poland
Poland;PL;17;PL634;;;;17;Poland
Poland;PL;18;PL634;;;;18;Poland
Sweden;SE;29;SE110;;;;29;Sweden
Sweden;SE;35;SE110;;;;35;Sweden
Sweden;SE;35;SE121;;;;35;Sweden
Sweden;SE;37;SE121;;;;37;Sweden
Sweden;SE;29;SE122;;;;29;Sweden
Sweden;SE;26;SE123;;;;26;Sweden
Sweden;SE;29;SE123;;;;29;Sweden
Sweden;SE;14;SE212;;;;14;Sweden
Sweden;SE;14;SE213;;;;14;Sweden
Sweden;SE;26;SE213;;;;26;Sweden
Sweden;SE;20;SE214;;;;20;Sweden
Sweden;SE;26;SE214;;;;26;Sweden
Sweden;SE;14;SE221;;;;14;Sweden
Sweden;SE;26;SE221;;;;26;Sweden
Sweden;SE;1;SE224;;;;1;Sweden
Sweden;SE;5;SE224;;;;5;Sweden
Sweden;SE;11;SE224;;;;11;Sweden
Sweden;SE;14;SE224;;;;14;Sweden
Sweden;SE;1;SE231;;;;1;Sweden
Sweden;SE;1;SE232;;;;1;Sweden
Sweden;SE;37;SE313;;;;37;Sweden
Sweden;SE;37;SE321;;;;37;Sweden
Sweden;SE;37;SE331;;;;37;Sweden
Sweden;SE;39;SE331;;;;39;Sweden
Sweden;SE;41;SE331;;;;41;Sweden
Sweden;SE;41;SE332;;;;41;Sweden
Finland;SE;42;SE332;1;41;Sweden;41;Sweden
