" ","score","status","future","trend","pressures","resilience"
"Index",77.7,,77.84,,,
"Food Provision",1.02,0.91,1.13,0,,
". Fisheries",1.12,1,1.24,0,15.74,88.2
". Mariculture",0.34,0.31,0.38,0,15.47,81.59
"Artisanal Fishing Opportunity",72.77,64.52,81.02,-0.01,10.28,89.05
"Natural Products",99.35,98.7,100,0.33,10.13,90.22
"Carbon Storage",,,,,12.41,92.15
"Coastal Protection",100,100,100,0.08,32.13,87.34
"Tourism & Recreation",62.34,57.69,66.99,-0.04,35.82,93.67
"Coastal Livelihoods & Economies",77.9,100,55.8,-0.55,,
". Livelihoods",,,,-0.11,14.04,67.05
". Economies",77.9,100,55.8,-1,14.15,83.24
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,13.28,89.44
". Lasting Special Places",100,100,100,0,20.75,91.4
"Clean Waters",87.64,79.67,95.62,0.06,45.42,93.67
"Biodiversity",98.26,96.52,100,0.01,,
". Habitats",100,100,100,0.01,11.35,88.85
". Species",96.52,93.03,100,0.02,17.94,87.5
