" ","score","status","future"
"Index",71.02,,72.9
"Food Provision",13.49,12.37,14.49
". Fisheries",14.38,13.16,15.45
". Mariculture",15.37,15.56,15.38
"Artisanal Fishing Opportunity",75.57,69.2,81.98
"Natural Products",64.14,60.51,68.23
"Carbon Storage",77.88,74.4,81.42
"Coastal Protection",45.79,43.22,47.6
"Tourism & Recreation",75,73.27,76.59
"Coastal Livelihoods & Economies",92.74,99.78,85.66
". Livelihoods",99.81,99.63,100
". Economies",91.87,99.87,83.83
"Sense of Place",90.99,91.27,91.31
". Iconic Species",69.7,68.65,70.76
". Lasting Special Places",100,100,100
"Clean Waters",81.05,77.14,84.99
"Biodiversity",93.56,89.66,97.48
". Habitats",93.66,89.89,97.45
". Species",93.46,89.43,97.52
